#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       14700       3.783369e-02       2.623461e-03       1.984515e-02       5.169924e-01       1.045814e-02       1.016496e-01
       14800       6.556912e-02       9.129093e-03       3.885520e-02       8.048771e-01       1.948171e-02       1.423045e-01
       14900       2.779298e-02       3.015619e-03       1.504822e-02       1.989994e-01       7.233645e-03       6.367207e-02
       15000       3.261975e-02       1.172584e-03       1.726571e-02       2.909388e-01       1.591527e-02       8.494746e-02
       15100       1.241186e-01       2.253235e-02       6.885746e-02       1.741181e+00       1.863998e-02       2.397274e-01
       15200       3.659236e-02       8.840723e-03       2.296935e-02       6.047235e-01       1.417780e-02       1.193890e-01
       15300       3.502865e-02       2.632640e-03       1.821659e-02       2.864193e-01       1.237588e-02       8.807144e-02
       15400       2.903163e-02       2.550464e-03       1.548630e-02       2.307544e-01       7.687486e-03       6.971412e-02
       15500       6.145868e-02       2.998470e-04       3.380896e-02       9.537758e-01       1.341023e-02       1.329985e-01
       15600       4.678175e-02       6.250419e-03       2.493755e-02       6.178842e-01       1.583812e-02       1.266695e-01
       15700       3.061267e-02       5.941352e-03       1.706957e-02       2.931525e-01       1.448575e-02       9.175736e-02
       15800       1.798323e-02       2.656125e-03       1.022210e-02       2.886889e-01       6.447633e-03       8.072562e-02
       15900       2.748268e-02       3.817299e-03       1.518964e-02       2.276059e-01       9.982097e-03       7.483942e-02
       16000       3.445479e-02       1.666919e-03       2.052068e-02       3.559470e-01       2.086206e-02       1.088175e-01
       16100       4.373827e-02       5.006940e-03       2.327805e-02       4.222311e-01       1.118610e-02       1.176949e-01
       16200       2.235981e-02       5.088607e-03       1.314100e-02       2.319754e-01       8.781906e-03       5.769622e-02
       16300       4.284475e-02       4.155622e-03       2.334462e-02       3.234163e-01       1.307619e-02       9.321584e-02
       16400       3.885068e-02       1.475095e-03       2.122483e-02       3.018886e-01       2.454222e-02       1.046701e-01
       16500       9.242382e-02       4.230920e-03       4.874811e-02       1.443086e+00       2.243884e-02       1.927610e-01
       16600       2.422090e-02       3.906778e-03       1.258754e-02       2.705171e-01       7.434306e-03       8.095464e-02
       16700       5.113538e-02       4.631655e-03       2.911321e-02       6.851085e-01       1.781975e-02       1.418873e-01
       16800       4.532873e-02       7.547621e-03       2.542669e-02       6.355240e-01       1.411020e-02       1.241293e-01
