#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       21900       4.361996e-01       2.615573e-02       2.257438e-01       2.206197e+00       7.775852e-02       6.779140e-01
       22000       3.625466e-01       2.030009e-02       1.865896e-01       2.172781e+00       7.143385e-02       6.065548e-01
       22100       2.172728e-01       2.245093e-02       1.230557e-01       1.678718e+00       5.945111e-02       4.508910e-01
       22200       1.644272e-01       3.974627e-02       9.675278e-02       1.079618e+00       3.804322e-02       3.593098e-01
       22300       1.851394e-01       5.171038e-03       1.024384e-01       1.597808e+00       3.194206e-02       3.470030e-01
       22400       1.968858e-01       2.063680e-02       9.376417e-02       1.891230e+00       3.173290e-02       3.710870e-01
       22500       2.207906e-01       2.809313e-02       1.270180e-01       2.274884e+00       6.961597e-02       4.479143e-01
       22600       1.811886e-01       3.109268e-02       1.044414e-01       1.316380e+00       6.818681e-02       4.238681e-01
       22700       4.740541e-01       3.659578e-02       2.507514e-01       2.449534e+00       8.531833e-02       7.852002e-01
       22800       2.520254e-01       5.486764e-03       1.392035e-01       1.407207e+00       6.659464e-02       4.264508e-01
       22900       3.743122e-01       3.903080e-02       2.153292e-01       1.978480e+00       1.191925e-01       7.243605e-01
       23000       2.888406e-01       3.179461e-02       1.574089e-01       1.763100e+00       7.992771e-02       5.538192e-01
       23100       5.648628e-01       3.515488e-02       3.206148e-01       2.918938e+00       1.279983e-01       9.969895e-01
       23200       3.212155e-01       1.563272e-02       1.847327e-01       3.021797e+00       4.421467e-02       6.158443e-01
       23300       3.453705e-01       1.454916e-02       1.634010e-01       1.897940e+00       8.178576e-02       5.191198e-01
       23400       3.939813e-01       4.377331e-02       1.988835e-01       2.240151e+00       6.903487e-02       6.141720e-01
       23500       3.834389e-01       2.138976e-02       2.080891e-01       2.100244e+00       5.413745e-02       6.682698e-01
       23600       2.919516e-01       3.863076e-02       1.606445e-01       2.299879e+00       6.659945e-02       5.558422e-01
       23700       2.244624e-01       2.600707e-02       1.183941e-01       1.453891e+00       4.076085e-02       4.086131e-01
       23800       1.767583e-01       1.755951e-03       1.020997e-01       1.309020e+00       2.538065e-02       3.670902e-01
       23900       4.517219e-01       1.201631e-02       2.179916e-01       1.812819e+00       7.819403e-02       6.964713e-01
       24000       3.913730e-01       3.883257e-02       2.231953e-01       2.771939e+00       6.197745e-02       7.108382e-01
       24100       6.251347e-01       7.075232e-02       3.200241e-01       2.011300e+00       1.204969e-01       8.217705e-01
       24200       6.897093e-01       3.572846e-02       3.484198e-01       1.921191e+00       8.278061e-02       9.469753e-01
       24300       4.031474e-01       1.832423e-02       2.111464e-01       2.118772e+00       1.068028e-01       7.138718e-01
       24400       4.138671e-01       2.022036e-02       2.008691e-01       1.818305e+00       8.691093e-02       6.261131e-01
       24500       4.756636e-01       3.894179e-02       2.615830e-01       2.447546e+00       1.007789e-01       8.309370e-01
       24600       4.346716e-01       1.243952e-02       2.436746e-01       2.122870e+00       6.282539e-02       7.924083e-01
       24700       3.178212e-01       8.207429e-03       1.690467e-01       2.076533e+00       5.633987e-02       5.439744e-01
       24800       3.756140e-01       1.059047e-02       1.860559e-01       1.806673e+00       6.957300e-02       6.078990e-01
       24900       4.065562e-01       2.919602e-02       1.969013e-01       1.848861e+00       7.205564e-02       6.505777e-01
       25000       2.742723e-01       1.178723e-02       1.468023e-01       1.757279e+00       9.997443e-02       4.665259e-01
       25100       2.801804e-01       2.368035e-02       1.398045e-01       1.548218e+00       7.150378e-02       4.882025e-01
       25200       2.868314e-01       2.914993e-02       1.566800e-01       2.802773e+00       9.015343e-02       5.243901e-01
       25300       4.053891e-01       5.150540e-02       2.092898e-01       2.037628e+00       9.332167e-02       6.948806e-01
       25400       2.909725e-01       2.537674e-02       1.618421e-01       1.709295e+00       1.050561e-01       5.031552e-01
       25500       4.934760e-01       2.291635e-02       2.572258e-01       2.044434e+00       9.213238e-02       7.324377e-01
       25600       3.586487e-01       4.567792e-02       1.938640e-01       2.018613e+00       4.707748e-02       6.131280e-01
       25700       3.879874e-01       2.576226e-02       2.199448e-01       2.299035e+00       6.904133e-02       6.490315e-01
       25800       4.672025e-01       3.363675e-02       2.431718e-01       2.379783e+00       5.597278e-02       7.026653e-01
       25900       4.819214e-01       1.647538e-02       2.474618e-01       2.376781e+00       6.819653e-02       7.851399e-01
       26000       2.419008e-01       3.236220e-02       1.229882e-01       1.576940e+00       7.068857e-02       4.171067e-01
       26100       2.294195e-01       1.645301e-02       1.205033e-01       1.771440e+00       3.809768e-02       4.128973e-01
       26200       2.788174e-01       4.907849e-03       1.378134e-01       1.687072e+00       7.333024e-02       4.760653e-01
       26300       2.720286e-01       1.467860e-02       1.489465e-01       1.697966e+00       5.535090e-02       4.794482e-01
