#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  15300      1.22e-01    9.66e-02      4.30e-03    2.50e-03      3.94e-03    3.13e-03    4.7e-03
  15400      1.52e-01    1.45e-01      6.32e-02    6.04e-02      3.89e-03    3.70e-03    4.7e-03
  15500      1.85e-01    1.32e-01      5.62e-02    5.26e-02      5.36e-03    3.45e-03    4.7e-03
  15600      1.17e-01    1.08e-01      5.59e-03    1.03e-02      3.80e-03    3.48e-03    4.7e-03
  15700      1.28e-01    9.92e-02      2.96e-02    2.76e-02      3.89e-03    2.93e-03    4.7e-03
  15800      1.81e-01    1.46e-01      5.67e-02    6.26e-02      5.18e-03    3.65e-03    4.7e-03
  15900      1.36e-01    1.42e-01      4.62e-02    4.54e-02      3.82e-03    4.05e-03    4.7e-03
  16000      1.11e-01    9.92e-02      4.54e-03    4.03e-03      3.60e-03    3.21e-03    4.7e-03
  16100      1.06e-01    1.65e-01      2.64e-02    2.66e-02      3.19e-03    5.20e-03    4.7e-03
  16200      1.85e-01    1.33e-01      2.91e-02    2.76e-02      5.82e-03    4.11e-03    4.7e-03
  16300      1.89e-01    2.13e-01      2.68e-02    2.73e-02      5.98e-03    6.79e-03    4.7e-03
  16400      1.53e-01    1.52e-01      2.72e-02    2.81e-02      4.79e-03    4.75e-03    4.7e-03
  16500      9.74e-02    8.74e-02      2.36e-02    2.13e-02      2.95e-03    2.64e-03    4.7e-03
  16600      1.27e-01    1.20e-01      2.70e-02    3.18e-02      3.90e-03    3.57e-03    4.7e-03
  16700      1.56e-01    1.11e-01      1.36e-02    1.41e-02      5.01e-03    3.53e-03    4.7e-03
  16800      1.47e-01    1.86e-01      6.66e-02    5.92e-02      3.50e-03    5.30e-03    4.7e-03
  16900      9.87e-02    8.15e-02      9.86e-03    1.11e-02      3.17e-03    2.59e-03    4.7e-03
  17000      2.64e-01    1.44e-01      4.45e-02    4.50e-02      8.29e-03    4.13e-03    4.7e-03
  17100      2.07e-01    2.28e-01      4.60e-02    5.19e-02      6.35e-03    6.97e-03    4.7e-03
  17200      2.03e-01    2.23e-01      8.95e-02    7.70e-02      4.97e-03    6.20e-03    4.7e-03
  17300      1.62e-01    1.11e-01      2.35e-02    2.21e-02      5.13e-03    3.45e-03    4.7e-03
  17400      1.19e-01    1.31e-01      8.53e-04    8.55e-04      3.86e-03    4.25e-03    4.7e-03
  17500      2.06e-01    1.18e-01      2.89e-02    2.92e-02      6.55e-03    3.57e-03    4.7e-03
  17600      2.38e-01    1.07e-01      3.22e-02    3.69e-02      7.56e-03    2.99e-03    4.7e-03
  17700      1.36e-01    1.44e-01      3.57e-02    3.30e-02      4.07e-03    4.40e-03    4.7e-03
  17800      1.18e-01    1.72e-01      4.59e-02    4.57e-02      3.12e-03    5.14e-03    4.7e-03
  17900      1.26e-01    1.53e-01      2.19e-02    2.37e-02      3.96e-03    4.84e-03    4.7e-03
  18000      2.06e-01    1.78e-01      4.25e-02    4.27e-02      6.36e-03    5.39e-03    4.7e-03
  18100      2.05e-01    2.21e-01      9.80e-02    1.02e-01      4.67e-03    5.26e-03    4.7e-03
  18200      2.38e-01    1.70e-01      2.03e-02    2.12e-02      7.67e-03    5.41e-03    4.7e-03
  18300      1.44e-01    9.57e-02      2.33e-02    2.54e-02      4.54e-03    2.85e-03    4.7e-03
  18400      1.65e-01    1.25e-01      5.15e-02    5.09e-02      4.75e-03    3.23e-03    4.7e-03
  18500      1.01e-01    1.33e-01      2.60e-02    2.62e-02      3.02e-03    4.12e-03    4.7e-03
  18600      4.56e-01    3.64e-01      2.57e-02    2.33e-02      1.48e-02    1.18e-02    4.7e-03
  18700      1.94e-01    1.93e-01      3.21e-02    2.36e-03      6.11e-03    6.28e-03    4.7e-03
  18800      1.19e-01    1.48e-01      1.59e-02    1.70e-02      3.80e-03    4.74e-03    4.7e-03
  18900      1.66e-01    9.71e-02      2.64e-03    2.87e-03      5.40e-03    3.15e-03    4.7e-03
  19000      1.58e-01    1.62e-01      3.97e-02    2.14e-02      4.74e-03    5.15e-03    4.7e-03
  19100      8.78e-02    1.07e-01      1.45e-02    1.02e-02      2.76e-03    3.44e-03    4.7e-03
  19200      1.53e-01    9.76e-02      2.98e-02    3.00e-02      4.76e-03    2.82e-03    4.7e-03
  19300      1.09e-01    1.13e-01      1.86e-02    1.86e-02      3.42e-03    3.57e-03    4.7e-03
  19400      9.35e-02    1.24e-01      2.84e-03    2.79e-03      3.03e-03    4.03e-03    4.7e-03
  19500      1.45e-01    1.36e-01      2.60e-02    3.39e-02      4.55e-03    4.11e-03    4.7e-03
  19600      1.89e-01    3.44e-01      7.92e-02    7.26e-02      4.82e-03    1.06e-02    4.7e-03
  19700      2.14e-01    2.80e-01      8.88e-02    9.29e-02      5.48e-03    7.89e-03    4.7e-03
  19800      4.41e-01    3.57e-01      1.48e-01    1.48e-01      1.24e-02    9.13e-03    4.7e-03
  19900      1.09e-01    8.50e-02      1.36e-03    6.33e-03      3.54e-03    2.74e-03    4.7e-03
  20000      6.52e-01    3.27e-01      1.12e-01    1.09e-01      2.05e-02    8.32e-03    4.5e-03
  20100      1.10e-01    1.25e-01      7.54e-04    2.21e-03      3.67e-03    4.16e-03    4.5e-03
  20200      1.53e-01    1.23e-01      3.84e-02    3.87e-02      4.45e-03    3.27e-03    4.5e-03
  20300      1.21e-01    8.80e-02      2.22e-02    2.22e-02      3.78e-03    2.56e-03    4.5e-03
  20400      3.30e-01    2.32e-01      2.08e-02    2.45e-02      1.09e-02    7.56e-03    4.5e-03
  20500      9.24e-02    8.91e-02      1.39e-02    1.43e-02      2.94e-03    2.82e-03    4.5e-03
  20600      1.47e-01    1.10e-01      4.41e-02    4.30e-02      4.01e-03    2.41e-03    4.5e-03
  20700      1.40e-01    2.02e-01      3.70e-02    3.63e-02      4.03e-03    6.32e-03    4.5e-03
  20800      8.95e-02    9.33e-02      2.92e-03    5.47e-03      2.97e-03    3.08e-03    4.5e-03
  20900      1.71e-01    1.32e-01      1.03e-02    1.02e-02      5.66e-03    4.34e-03    4.5e-03
  21000      1.65e-01    1.50e-01      6.25e-02    6.31e-02      3.79e-03    2.95e-03    4.5e-03
  21100      7.95e-02    8.59e-02      8.69e-04    3.29e-04      2.65e-03    2.86e-03    4.5e-03
  21200      1.19e-01    6.67e-02      7.66e-03    9.81e-03      3.93e-03    2.13e-03    4.5e-03
  21300      1.20e-01    1.20e-01      1.55e-03    1.55e-03      4.01e-03    4.01e-03    4.5e-03
  21400      1.90e-01    1.67e-01      5.95e-02    5.94e-02      5.03e-03    4.05e-03    4.5e-03
  21500      1.07e-01    1.18e-01      3.86e-02    3.74e-02      2.58e-03    3.09e-03    4.5e-03
  21600      1.07e-01    1.17e-01      2.76e-02    3.58e-02      3.10e-03    3.15e-03    4.5e-03
  21700      2.13e-01    1.12e-01      3.21e-02    3.12e-02      6.79e-03    3.15e-03    4.5e-03
