#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  22300      1.05e-01    8.95e-02      1.50e-03    3.00e-04      3.51e-03    2.98e-03    4.5e-03
  22400      9.73e-02    5.11e-02      8.53e-03    2.25e-03      3.19e-03    1.69e-03    4.5e-03
  22500      3.04e-01    1.47e-01      1.65e-02    1.85e-02      1.01e-02    4.76e-03    4.5e-03
  22600      1.24e-01    1.30e-01      5.16e-02    5.65e-02      2.48e-03    2.38e-03    4.5e-03
  22700      8.20e-02    7.01e-02      2.85e-02    1.59e-02      2.03e-03    2.10e-03    4.5e-03
  22800      1.24e-01    9.34e-02      2.02e-02    1.30e-02      3.91e-03    3.00e-03    4.5e-03
  22900      3.58e-01    1.57e-01      1.51e-02    1.12e-02      1.19e-02    5.16e-03    4.5e-03
  23000      9.89e-02    1.61e-01      4.26e-03    3.71e-03      3.28e-03    5.34e-03    4.5e-03
  23100      8.31e-02    1.81e-01      1.99e-02    1.06e-02      2.45e-03    5.97e-03    4.5e-03
  23200      7.91e-02    8.37e-02      5.21e-03    9.55e-03      2.61e-03    2.72e-03    4.5e-03
  23300      1.03e-01    1.12e-01      1.32e-02    9.68e-03      3.33e-03    3.66e-03    4.5e-03
  23400      1.77e-01    1.37e-01      9.86e-03    1.95e-02      5.86e-03    4.39e-03    4.5e-03
  23500      1.59e-01    1.71e-01      6.61e-03    9.24e-03      5.27e-03    5.67e-03    4.5e-03
  23600      1.83e-01    1.99e-01      1.17e-02    1.11e-02      6.05e-03    6.58e-03    4.5e-03
  23700      5.97e-02    6.15e-02      6.57e-03    9.06e-03      1.94e-03    1.96e-03    4.5e-03
  23800      8.29e-02    8.09e-02      2.29e-02    2.57e-02      2.34e-03    2.13e-03    4.5e-03
  23900      5.93e-02    8.96e-02      1.34e-05    1.93e-02      1.98e-03    2.72e-03    4.5e-03
  24000      8.27e-02    7.64e-02      2.85e-02    1.82e-02      2.06e-03    2.26e-03    4.5e-03
  24100      8.11e-02    8.76e-02      1.37e-03    4.34e-03      2.70e-03    2.90e-03    4.5e-03
  24200      1.10e-01    1.09e-01      4.54e-02    4.22e-02      2.24e-03    2.42e-03    4.5e-03
  24300      1.86e-01    1.09e-01      7.71e-03    1.03e-02      6.18e-03    3.58e-03    4.5e-03
  24400      8.60e-02    7.60e-02      5.45e-03    1.30e-03      2.84e-03    2.53e-03    4.5e-03
  24500      8.15e-02    6.09e-02      3.51e-04    4.47e-03      2.71e-03    2.01e-03    4.5e-03
  24600      1.23e-01    7.13e-02      1.57e-02    1.33e-02      3.98e-03    2.21e-03    4.5e-03
  24700      8.60e-02    7.73e-02      2.69e-02    1.31e-02      2.29e-03    2.43e-03    4.5e-03
  24800      1.07e-01    1.13e-01      1.32e-02    3.02e-03      3.44e-03    3.75e-03    4.5e-03
  24900      6.58e-02    9.19e-02      9.23e-03    1.29e-02      2.11e-03    2.95e-03    4.5e-03
  25000      8.89e-02    7.33e-02      1.31e-02    2.18e-02      2.84e-03    2.00e-03    4.5e-03
  25100      1.79e-01    1.71e-01      4.28e-02    4.22e-02      5.28e-03    5.02e-03    4.5e-03
  25200      7.34e-02    6.88e-02      1.07e-03    2.19e-03      2.44e-03    2.28e-03    4.5e-03
  25300      1.80e-01    2.31e-01      3.14e-02    2.90e-02      5.63e-03    7.45e-03    4.5e-03
  25400      1.54e-01    1.29e-01      2.83e-02    3.02e-02      4.80e-03    3.83e-03    4.5e-03
  25500      1.20e-01    1.01e-01      3.21e-02    3.91e-02      3.41e-03    2.22e-03    4.5e-03
